gene	rec_mean	orthogroup	freq
Ha412HOChr01:110680204-110685328	0.46736689126701	OG0012505	1
Ha412HOChr01:110754190-110757700	0.46733386180473	OG0002494	4
Ha412HOChr01:110889779-110893380	0.467300832342449	OG0013140	4
Ha412HOChr01:110984784-110988103	0.467267802880169	OG0013140	4
Ha412HOChr01:11115263-11122402	0.208349848064474	OG0002780	2
Ha412HOChr01:111195047-111199362	0.477804201347602	OG0013140	4
Ha412HOChr01:1112616-1116435	0.219910159862597	OG0003108	3
Ha412HOChr01:111372336-111374375	0.477771171885322	OG0013140	4
Ha412HOChr01:111532648-111543720	0.477738142423041	OG0001808	3
Ha412HOChr01:11199181-11204350	0.208316818602193	OG0008336	2
Ha412HOChr01:112186554-112190612	0.493922578940415	OG0008551	1
Ha412HOChr01:11221259-11226574	0.208283789139913	OG0026904	2
Ha412HOChr01:112680109-112686057	0.493889549478135	OG0009419	3
Ha412HOChr01:112717442-112720004	0.493856520015854	OG0022546	1
Ha412HOChr01:112788793-112790104	0.493823490553574	OG0020109	4
Ha412HOChr01:112793655-112797273	0.493790461091293	OG0003158	2
Ha412HOChr01:112929604-112931853	0.493757431629013	OG0004304	3
Ha412HOChr01:112984826-112986677	0.493724402166733	OG0014032	1
Ha412HOChr01:112987333-112988264	0.493691372704452	OG0012899	1
Ha412HOChr01:112990502-112996322	0.493658343242172	OG0003982	1
Ha412HOChr01:113221234-113224043	0.50743162901308	OG0002191	5
Ha412HOChr01:113224770-113226738	0.507398599550799	OG0017780	4
Ha412HOChr01:113406044-113409928	0.507365570088519	OG0010419	1
Ha412HOChr01:113410975-113418299	0.507332540626239	OG0006969	3
Ha412HOChr01:113622593-113624006	0.507299511163958	OG0001307	5
Ha412HOChr01:113622744-113623987	0.507266481701678	OG0022547	1
Ha412HOChr01:113649317-113651994	0.507233452239398	OG0010326	1
Ha412HOChr01:113716496-113719587	0.507200422777117	OG0022548	3
Ha412HOChr01:11372541-11377236	0.208250759677632	OG0002187	3
Ha412HOChr01:113790094-113794351	0.507167393314837	OG0022549	3
Ha412HOChr01:11380646-11386767	0.208217730215352	OG0004113	3
Ha412HOChr01:113862194-113871261	0.507134363852557	OG0003324	3
Ha412HOChr01:113895736-113899916	0.507101334390276	OG0005135	4
Ha412HOChr01:113908707-113912740	0.507068304927996	OG0005135	4
Ha412HOChr01:113972551-113984482	0.507035275465715	OG0010098	1
Ha412HOChr01:114109285-114112187	0.514400845554234	OG0001571	4
Ha412HOChr01:114286815-114288409	0.514367816091954	OG0005937	2
Ha412HOChr01:114291680-114298447	0.514334786629674	OG0000809	7
Ha412HOChr01:114330529-114334564	0.514301757167393	OG0005937	2
Ha412HOChr01:114336103-114337868	0.514268727705113	OG0010514	1
Ha412HOChr01:114339342-114342468	0.514235698242833	OG0003786	3
Ha412HOChr01:114603463-114606672	0.514202668780552	OG0001789	4
Ha412HOChr01:114607672-114611062	0.514169639318272	OG0010642	1
Ha412HOChr01:114615569-114615982	0.514136609855992	OG0000582	7
Ha412HOChr01:114689516-114694188	0.514103580393711	OG0005659	3
Ha412HOChr01:11498733-11501332	0.208184700753072	OG0000087	9
Ha412HOChr01:115389604-115390569	0.522261857576959	OG0001377	5
Ha412HOChr01:115595252-115597219	0.522228828114678	OG0001377	5
Ha412HOChr01:115673479-115676423	0.522195798652398	OG0002457	2
Ha412HOChr01:115678247-115696261	0.522162769190118	OG0001601	4
Ha412HOChr01:115770391-115779110	0.522129739727837	OG0006683	2
Ha412HOChr01:115974061-115976684	0.522096710265557	OG0007392	2
Ha412HOChr01:116164647-116171854	0.530717399920729	OG0000353	10
Ha412HOChr01:116167591-116172587	0.530684370458449	OG0008530	1
Ha412HOChr01:116243049-116246500	0.530651340996169	OG0013866	1
Ha412HOChr01:116252995-116261772	0.530618311533888	OG0007457	2
Ha412HOChr01:116497135-116500332	0.530585282071608	OG0001676	5
Ha412HOChr01:11665824-11669719	0.208151671290791	OG0026905	2
Ha412HOChr01:116728810-116730857	0.530552252609327	OG0001276	2
Ha412HOChr01:116731732-116735495	0.530519223147047	OG0010764	1
Ha412HOChr01:117094350-117097770	0.537059056678557	OG0019753	1
Ha412HOChr01:117135560-117139011	0.537026027216277	OG0004467	1
Ha412HOChr01:117148047-117157207	0.536992997753997	OG0008448	2
Ha412HOChr01:117161054-117162382	0.536959968291716	OG0000745	3
Ha412HOChr01:117164190-117168803	0.536926938829436	OG0015426	1
Ha412HOChr01:117237132-117238347	0.536893909367156	OG0000384	1
Ha412HOChr01:11730199-11731013	0.208118641828511	OG0004312	9
Ha412HOChr01:117341683-117344035	0.536860879904875	OG0021659	2
Ha412HOChr01:117381728-117383385	0.536827850442595	OG0004891	3
Ha412HOChr01:117466326-117467510	0.536794820980314	OG0026945	2
Ha412HOChr01:117469291-117470769	0.536761791518034	OG0007483	2
Ha412HOChr01:117480106-117481939	0.536728762055754	OG0001575	2
Ha412HOChr01:117482579-117495251	0.536695732593473	OG0012265	1
Ha412HOChr01:117628925-117636290	0.536662703131193	OG0009843	2
Ha412HOChr01:118042551-118044331	0.548090897080196	OG0022550	1
