gene	rec_mean	orthogroup	freq
Ha412HOChr01:10671639-10678298	0.211433046202036	OG0009216	2
Ha412HOChr01:10682244-10687873	0.211400417645523	OG0013973	1
Ha412HOChr01:10688671-10690253	0.211367789089011	OG0000748	5
Ha412HOChr01:106933682-106944552	0.435525972330984	OG0000869	3
Ha412HOChr01:107311286-107323133	0.442867397546333	OG0000869	3
Ha412HOChr01:107451397-107457841	0.44283476898982	OG0008318	1
Ha412HOChr01:107653559-107658057	0.442802140433307	OG0003146	3
Ha412HOChr01:107662253-107667144	0.442769511876795	OG0014597	9
Ha412HOChr01:107672974-107680235	0.442736883320282	OG0009565	1
Ha412HOChr01:107723875-107727127	0.442704254763769	OG0009413	1
Ha412HOChr01:10772770-10779278	0.211335160532498	OG0008394	1
Ha412HOChr01:107747651-107750930	0.442671626207257	OG0009781	2
Ha412HOChr01:10781535-10783095	0.211302531975985	OG0005743	3
Ha412HOChr01:10784875-10786079	0.211269903419473	OG0005743	3
Ha412HOChr01:107961887-107970872	0.442638997650744	OG0009254	1
Ha412HOChr01:108576128-108579207	0.451350822239624	OG0002626	3
Ha412HOChr01:109196558-109196860	0.46123727486296	OG0008304	2
Ha412HOChr01:109224499-109228199	0.461204646306447	OG0001131	5
Ha412HOChr01:109296399-109299208	0.461172017749935	OG0001131	5
Ha412HOChr01:1094685-1095215	0.222559383972853	OG0011497	2
Ha412HOChr01:109777510-109783315	0.461139389193422	OG0009711	1
Ha412HOChr01:109795246-109802284	0.461106760636909	OG0004050	2
Ha412HOChr01:109803429-109803991	0.461074132080397	OG0013890	1
Ha412HOChr01:109805691-109808121	0.461041503523884	OG0007883	1
Ha412HOChr01:109813664-109820047	0.461008874967371	OG0005883	1
Ha412HOChr01:1098313-1100904	0.22252675541634	OG0007593	2
Ha412HOChr01:110072522-110073840	0.470405899243018	OG0020108	3
Ha412HOChr01:110072605-110073914	0.470373270686505	OG0015743	6
Ha412HOChr01:1101039-1102214	0.222494126859828	OG0014992	1
Ha412HOChr01:110379332-110383193	0.470340642129992	OG0017778	5
Ha412HOChr01:110404113-110405513	0.47030801357348	OG0017779	5
Ha412HOChr01:110421969-110423887	0.470275385016967	OG0022545	3
Ha412HOChr01:110468363-110472407	0.470242756460454	OG0002543	3
Ha412HOChr01:110482175-110483730	0.470210127903942	OG0004652	3
Ha412HOChr01:110483732-110485452	0.470177499347429	OG0019976	3
Ha412HOChr01:110495677-110498595	0.470144870790916	OG0022545	3
Ha412HOChr01:110567831-110575474	0.470112242234404	OG0001400	3
Ha412HOChr01:110680204-110685328	0.470079613677891	OG0012505	1
Ha412HOChr01:110754190-110757700	0.470046985121378	OG0002494	4
Ha412HOChr01:110889779-110893380	0.470014356564866	OG0013140	4
Ha412HOChr01:110984784-110988103	0.469981728008353	OG0013140	4
Ha412HOChr01:11115263-11122402	0.211008874967371	OG0002780	2
