Orthogroup	occurrences
OG0000592	21
OG0000593	22
OG0000594	23
OG0000595	17
OG0000596	13
OG0000597	16
OG0000598	35
OG0000599	23
OG0000600	32
OG0000601	18
OG0000602	29
OG0000603	52
OG0000604	50
OG0000605	51
OG0000606	52
OG0000607	16
OG0000608	16
OG0000609	45
OG0000610	17
OG0000611	22
OG0000612	15
OG0000613	20
OG0000614	21
OG0000615	15
OG0000616	17
OG0000617	16
OG0000618	28
OG0000619	30
OG0000620	19
OG0000621	17
OG0000622	23
OG0000623	13
OG0000624	19
OG0000625	18
OG0000626	24
OG0000627	15
OG0000628	32
OG0000629	36
OG0000630	45
OG0000631	38
OG0000632	51
OG0000633	50
OG0000634	18
OG0000635	39
OG0000636	24
OG0000637	28
OG0000638	36
OG0000639	13
OG0000640	15
OG0000641	26
OG0000642	22
OG0000643	17
OG0000644	16
OG0000645	18
OG0000646	26
OG0000647	15
OG0000648	26
OG0000649	19
OG0000650	12
OG0000651	25
OG0000652	21
OG0000653	18
OG0000654	13
OG0000655	22
OG0000656	16
OG0000657	16
OG0000658	25
OG0000659	17
OG0000660	24
OG0000661	21
OG0000662	12
OG0000663	49
OG0000664	46
OG0000665	50
OG0000666	44
OG0000667	29
OG0000668	12
OG0000669	15
OG0000670	17
OG0000671	12
OG0000672	23
OG0000673	15
OG0000674	18
OG0000675	31
OG0000676	13
OG0000677	18
OG0000678	21
OG0000679	23
OG0000680	20
OG0000681	19
OG0000682	18
OG0000683	14
OG0000684	34
OG0000685	16
OG0000686	32
OG0000687	18
OG0000688	26
OG0000689	43
OG0000690	34
OG0000691	36
OG0000692	40
OG0000693	44
OG0000694	49
OG0000695	49
OG0000696	49
OG0000697	49
OG0000698	47
OG0000699	20
OG0000700	46
OG0000701	13
OG0000702	21
OG0000703	26
OG0000704	14
OG0000705	13
OG0000706	25
OG0000707	13
OG0000708	17
OG0000709	14
OG0000710	13
OG0000711	19
OG0000712	28
OG0000713	15
OG0000714	20
OG0000715	20
OG0000716	20
OG0000717	16
OG0000718	15
OG0000719	27
OG0000720	17
OG0000721	31
OG0000722	28
OG0000723	22
OG0000724	22
OG0000725	16
OG0000726	44
OG0000727	17
OG0000728	20
OG0000729	14
OG0000730	24
OG0000731	34
OG0000732	44
OG0000733	45
OG0000734	48
OG0000735	48
OG0000736	48
OG0000737	48
OG0000738	48
OG0000739	15
OG0000740	13
OG0000741	13
OG0000742	40
OG0000743	41
OG0000744	20
OG0000745	21
OG0000746	14
OG0000747	13
OG0000748	19
OG0000749	14
OG0000750	37
OG0000751	19
OG0000752	29
OG0000753	20
OG0000754	23
OG0000755	13
OG0000756	32
OG0000757	16
OG0000758	29
OG0000759	17
OG0000760	43
OG0000761	30
OG0000762	23
OG0000763	21
OG0000764	16
OG0000765	24
OG0000766	28
OG0000767	25
OG0000768	22
OG0000769	46
OG0000770	30
OG0000771	46
OG0000772	47
OG0000773	42
OG0000774	10
OG0000775	13
OG0000776	28
OG0000777	16
OG0000778	11
OG0000779	25
OG0000780	14
OG0000781	19
OG0000782	31
OG0000783	22
OG0000784	18
OG0000785	21
OG0000786	25
OG0000787	20
OG0000788	24
OG0000789	14
OG0000790	15
OG0000791	13
OG0000792	22
OG0000793	14
OG0000794	34
OG0000795	15
OG0000796	20
OG0000797	32
OG0000798	40
OG0000799	29
OG0000800	39
OG0000801	46
OG0000802	44
OG0000803	34
OG0000804	45
OG0000805	35
OG0000806	46
OG0000807	43
OG0000808	44
OG0000809	17
OG0000810	15
OG0000811	15
OG0000812	18
OG0000813	19
OG0000814	16
OG0000815	20
OG0000816	23
OG0000817	15
OG0000818	26
OG0000819	15
OG0000820	21
OG0000821	22
OG0000822	14
OG0000823	17
OG0000824	18
OG0000825	15
OG0000826	12
OG0000827	17
OG0000828	26
OG0000829	10
OG0000830	25
OG0000831	15
OG0000832	18
OG0000833	29
OG0000834	12
OG0000835	16
OG0000836	35
OG0000837	23
OG0000838	22
OG0000839	25
OG0000840	27
OG0000841	42
OG0000842	32
OG0000843	44
OG0000844	45
OG0000845	45
OG0000846	39
OG0000847	32
OG0000848	14
OG0000849	18
OG0000850	14
OG0000851	14
OG0000852	15
OG0000853	16
OG0000854	15
OG0000855	16
OG0000856	15
OG0000857	15
OG0000858	20
OG0000859	15
OG0000860	23
OG0000861	17
OG0000862	15
OG0000863	16
OG0000864	19
OG0000865	19
OG0000866	17
OG0000867	22
OG0000868	14
OG0000869	26
OG0000870	16
OG0000871	15
OG0000872	16
OG0000873	14
OG0000874	18
OG0000875	19
OG0000876	20
OG0000877	21
OG0000878	23
OG0000879	21
OG0000880	22
OG0000881	37
OG0000882	40
OG0000883	43
OG0000884	44
OG0000885	44
OG0000886	42
OG0000887	44
OG0000888	44
OG0000889	14
OG0000890	16
OG0000891	16
OG0000892	19
OG0000893	11
OG0000894	18
OG0000895	13
OG0000896	15
OG0000897	11
OG0000898	13
OG0000899	15
OG0000900	13
OG0000901	20
OG0000902	15
OG0000903	17
OG0000904	14
OG0000905	18
OG0000906	18
OG0000907	21
OG0000908	12
OG0000909	11
OG0000910	13
OG0000911	18
OG0000912	11
OG0000913	22
OG0000914	26
OG0000915	16
OG0000916	22
OG0000917	13
OG0000918	24
OG0000919	18
OG0000920	15
OG0000921	14
OG0000922	13
OG0000923	20
OG0000924	17
OG0000925	27
OG0000926	29
OG0000927	23
OG0000928	13
OG0000929	18
OG0000930	26
OG0000931	28
OG0000932	37
OG0000933	37
OG0000934	43
OG0000935	42
OG0000936	43
OG0000937	43
OG0000938	43
OG0000939	43
OG0000940	18
OG0000941	18
OG0000942	20
OG0000943	16
OG0000944	13
OG0000945	12
OG0000946	12
OG0000947	11
OG0000948	14
OG0000949	15
OG0000950	19
OG0000951	13
OG0000952	14
OG0000953	15
OG0000954	16
OG0000955	9
OG0000956	15
OG0000957	40
OG0000958	17
OG0000959	13
OG0000960	14
OG0000961	20
OG0000962	24
OG0000963	24
OG0000964	17
OG0000965	26
OG0000966	16
OG0000967	27
OG0000968	15
OG0000969	39
OG0000970	42
OG0000971	42
OG0000972	42
OG0000973	42
OG0000974	21
OG0000975	12
OG0000976	13
OG0000977	14
OG0000978	19
OG0000979	17
OG0000980	23
OG0000981	13
OG0000982	14
OG0000983	12
OG0000984	15
OG0000985	15
OG0000986	23
OG0000987	12
OG0000988	17
OG0000989	16
OG0000990	15
OG0000991	8
OG0000992	17
OG0000993	19
OG0000994	27
OG0000995	14
OG0000996	26
OG0000997	17
OG0000998	12
OG0000999	13
OG0001000	14
OG0001001	24
OG0001002	29
OG0001003	19
OG0001004	10
OG0001005	16
OG0001006	21
OG0001007	13
OG0001008	14
OG0001009	14
OG0001010	9
OG0001011	16
OG0001012	25
OG0001013	29
OG0001014	10
OG0001015	17
OG0001016	17
OG0001017	22
OG0001018	26
OG0001019	11
OG0001020	16
OG0001021	16
OG0001022	23
OG0001023	12
OG0001024	20
OG0001025	29
OG0001026	25
OG0001027	40
OG0001028	40
OG0001029	33
OG0001030	40
OG0001031	40
OG0001032	37
OG0001033	41
OG0001034	8
OG0001035	21
OG0001036	16
OG0001037	9
OG0001038	10
OG0001039	13
OG0001040	15
OG0001041	14
OG0001042	21
OG0001043	18
OG0001044	33
OG0001045	15
OG0001046	12
OG0001047	16
OG0001048	14
OG0001049	12
OG0001050	12
OG0001051	14
OG0001052	26
OG0001053	19
OG0001054	10
OG0001055	14
OG0001056	13
OG0001057	15
OG0001058	13
OG0001059	16
OG0001060	12
OG0001061	13
OG0001062	13
OG0001063	19
OG0001064	14
OG0001065	9
OG0001066	23
OG0001067	11
OG0001068	18
OG0001069	11
OG0001070	15
OG0001071	28
OG0001072	15
OG0001073	14
OG0001074	15
OG0001075	17
OG0001076	17
OG0001077	23
OG0001078	13
OG0001079	15
OG0001080	19
OG0001081	15
OG0001082	15
OG0001083	14
OG0001084	15
OG0001085	28
OG0001086	16
OG0001087	11
OG0001088	15
OG0001089	15
OG0001090	25
OG0001091	27
OG0001092	27
OG0001093	23
OG0001094	24
OG0001095	40
OG0001096	25
OG0001097	39
OG0001098	40
OG0001099	40
OG0001100	40
OG0001101	40
OG0001102	40
OG0001103	40
OG0001104	18
OG0001105	14
OG0001106	21
OG0001107	17
OG0001108	13
OG0001109	11
OG0001110	11
OG0001111	29
OG0001112	13
OG0001113	16
OG0001114	14
OG0001115	14
OG0001116	10
OG0001117	13
OG0001118	13
OG0001119	11
OG0001120	12
OG0001121	17
OG0001122	10
OG0001123	7
OG0001124	18
OG0001125	12
OG0001126	17
OG0001127	18
OG0001128	12
OG0001129	12
OG0001130	14
OG0001131	15
OG0001132	14
OG0001133	9
OG0001134	14
OG0001135	14
OG0001136	16
OG0001137	12
OG0001138	15
OG0001139	14
OG0001140	18
OG0001141	15
OG0001142	17
OG0001143	12
OG0001144	18
OG0001145	12
OG0001146	12
OG0001147	12
OG0001148	14
OG0001149	18
OG0001150	14
OG0001151	13
OG0001152	17
OG0001153	18
OG0001154	14
OG0001155	19
OG0001156	12
OG0001157	18
OG0001158	23
OG0001159	25
OG0001160	22
OG0001161	35
OG0001162	37
OG0001163	39
OG0001164	39
OG0001165	39
OG0001166	33
OG0001167	28
OG0001168	15
OG0001169	14
OG0001170	12
OG0001171	17
OG0001172	13
OG0001173	12
OG0001174	12
OG0001175	11
OG0001176	7
OG0001177	20
OG0001178	14
OG0001179	11
OG0001180	14
OG0001181	25
OG0001182	14
OG0001183	12
OG0001184	14
OG0001185	9
OG0001186	14
OG0001187	10
OG0001188	19
OG0001189	24
OG0001190	14
OG0001191	21
OG0001192	10
OG0001193	12
OG0001194	13
OG0001195	14
OG0001196	12
OG0001197	20
OG0001198	13
OG0001199	24
OG0001200	17
OG0001201	12
OG0001202	20
OG0001203	11
OG0001204	9
OG0001205	17
OG0001206	11
OG0001207	20
OG0001208	11
OG0001209	18
OG0001210	8
OG0001211	12
OG0001212	15
OG0001213	17
OG0001214	12
OG0001215	12
OG0001216	10
OG0001217	9
OG0001218	17
OG0001219	20
OG0001220	26
OG0001221	9
OG0001222	18
OG0001223	26
OG0001224	18
OG0001225	19
OG0001226	29
OG0001227	25
OG0001228	38
OG0001229	38
OG0001230	28
OG0001231	38
OG0001232	38
OG0001233	38
OG0001234	38
OG0001235	12
OG0001236	33
OG0001237	12
OG0001238	12
OG0001239	8
OG0001240	12
OG0001241	12
OG0001242	11
OG0001243	14
OG0001244	7
OG0001245	19
OG0001246	14
OG0001247	20
OG0001248	12
OG0001249	12
OG0001250	10
